Molybdenum - LE (10^-5 m/m) - Equation Range: 20 to 500 K  Properties Data from NIST Cryogenic Material Property Database
Temperature,Lower Property Value,Recommended Property Value,Upper Property Value
20,-96.12579773888,-92.42865167199999,-88.73150560511998
21,-96.15078139960559,-92.45267442269768,-88.75456744578977
22,-96.17085708954382,-92.4719779707152,-88.77309885188659
23,-96.18605439020207,-92.48659075980969,-88.7871271294173
24,-96.19640279527115,-92.49654114929919,-88.79667950332723
25,-96.201931710625,-92.5018574140625,-88.8017831175
26,-96.20267045432077,-92.50256774453919,-88.80246503475762
27,-96.19864825659887,-92.49870024672968,-88.7987522368605
28,-96.18989425988302,-92.49028294219521,-88.7906716245074
29,-96.17643751878,-92.4773437680577,-88.77825001733538
30,-96.15830700007999,-92.45991057699999,-88.76151415391999
31,-96.13553158275631,-92.43801113726569,-88.74049069177507
32,-96.10814005796556,-92.41167313265919,-88.71520620735282
33,-96.07616112904753,-92.3809241625457,-88.68568719604386
34,-96.03962341152526,-92.3457917418512,-88.65196007217715
35,-95.998555433105,-92.3063033010625,-88.61405116902
36,-95.95298563367628,-92.26248618622719,-88.57198673877811
37,-95.90294236531184,-92.21436765895369,-88.52579295259554
38,-95.84845389226763,-92.16197489641118,-88.47549590055473
39,-95.78954839098289,-92.1053349913297,-88.42112159167651
40,-95.72625395008001,-92.044474952,-88.36269595392
41,-95.65859857036466,-91.97942170227371,-88.30024483418276
42,-95.58661016482573,-91.9102020815632,-88.23379399830067
43,-95.51031655863537,-91.8368428448417,-88.16336913104803
44,-95.42974548914893,-91.75937066264319,-88.08899583613746
45,-95.34492460590499,-91.67781212106249,-88.01069963621998
46,-95.25588147062541,-91.5921937217552,-87.92850597288498
47,-95.1626435572152,-91.50254188193769,-87.84244020666017
48,-95.06523825176268,-91.4088829343872,-87.75252761701171
49,-94.96369285253935,-91.31124312744168,-87.65879340234402
50,-94.85803456999999,-91.20964862499999,-87.56126267999998
51,-94.74829052678255,-91.10412550652168,-87.45996048626081
52,-94.63448775770827,-90.99469976702719,-87.3549117763461
53,-94.51665320978161,-90.8813973170977,-87.24614142441378
54,-94.39481374219021,-90.7642439828752,-87.13367422356019
55,-94.26899612630501,-90.6432655060625,-87.01753488582
56,-94.13922704568013,-90.5184875439232,-86.89774804216627
57,-94.00553309605297,-90.3899356692817,-86.77433824251042
58,-93.86794078534412,-90.25763537052319,-86.64732995570226
59,-93.72647653365743,-90.12161205159369,-86.51674756952994
60,-93.58116667328,-89.981891032,-86.38261539071999
61,-93.43203744868208,-89.83849754680969,-86.2449576449373
62,-93.27911501651725,-89.6914567466512,-86.10379847678514
63,-93.12242544562224,-89.5407936977137,-85.95916194980515
64,-92.96199471701709,-89.3865333817472,-85.8110720464773
65,-92.79784872390499,-89.22870069606249,-85.65955266821999
66,-92.63001327167245,-89.0673204535312,-85.50462763538994
67,-92.4585140778891,-88.90241738258568,-85.34632068728226
68,-92.28337677230796,-88.73401612721919,-85.18465548213042
69,-92.10462689686511,-88.56214124698569,-85.01965559710627
70,-91.92228990567999,-88.38681721699999,-84.85134452831998
71,-91.73639116505521,-88.2080684279377,-84.6797456908202
72,-91.54695595347661,-88.0259191860352,-84.50488241859378
73,-91.35400946161329,-87.8403937130897,-84.3267779645661
74,-91.15757679231757,-87.6515161464592,-84.14545550060083
75,-90.957682960625,-87.45931053906249,-83.96093811749998
76,-90.75435289375437,-87.2638008593792,-83.77324882500403
77,-90.54761143110768,-87.0650109914497,-83.58241055179171
78,-90.33748332427018,-86.86296473487518,-83.38844614548017
79,-90.12399323701041,-86.6576858048177,-83.191378372625
80,-89.90716574527998,-86.44919783199998,-82.99122991871998
81,-89.68702533721391,-86.23752436270568,-82.78802338819746
82,-89.46359641313036,-86.02268885877919,-82.58178130442802
83,-89.23690328553072,-85.80471469762568,-82.37252610972065
84,-89.00697017909964,-85.58362517221119,-82.16028016532273
85,-88.773821230705,-85.35944349106249,-81.94506575141999
86,-88.5374804893979,-85.1321927782672,-81.7269050671365
