Silicon - EC (10^-8/K) -   Equation Range: 0  to 600 K  Properties Data from NIST Cryogenic Material Property Database
Temperature,Lower Property Value,Recommended Property Value,Upper Property Value
1,-0.029952,0.000048,0.030048
2,-0.029616,0.000384,0.030383999999999998
3,-0.028704,0.001296,0.031296
4,-0.026928,0.003072,0.033072
5,-0.024,0.006,0.036
6,-0.019631999999999997,0.010368,0.040368
7,-0.013536,0.016464,0.046464
8,-0.005423999999999998,0.024576,0.054576
9,0.004992000000000003,0.034992,0.064992
10,0.018000000000037243,0.04800000000003724,0.07800000000003723
11,0.03388800039841852,0.06388800039841852,0.09388800039841852
12,0.052944556122927505,0.0829445561229275,0.1129445561229275
13,0.07555249188443365,0.10555249188443365,0.13555249188443363
14,0.1030906441159736,0.1330906441159736,0.1630906441159736
15,0.11906469638765094,0.14906469638765094,0.17906469638765093
16,0.08030891650429448,0.11030891650429447,0.14030891650429447
17,0.014740425843172977,0.044740425843172976,0.07474042584317298
18,-0.07538614930837309,-0.04538614930837309,-0.015386149308373093
19,-0.20180920215629197,-0.17180920215629197,-0.14180920215629197
20,-0.3706056923499147,-0.34060569234991467,-0.31060569234991464
21,-0.5872548031493234,-0.5572548031493234,-0.5272548031493234
22,-0.8569343037943595,-0.8269343037943595,-0.7969343037943595
23,-1.1844019759301485,-1.1544019759301485,-1.1244019759301485
24,-1.5738820451315942,-1.5438820451315942,-1.5138820451315942
25,-2.0289624023432644,-1.9989624023432644,-1.9689624023432644
26,-2.5525046972357988,-2.522504697235799,-2.492504697235799
27,-3.146569133523508,-3.1165691335235084,-3.0865691335235086
28,-3.8123555521220718,-3.782355552122072,-3.752355552122072
29,-4.550162148348354,-4.520162148348354,-4.490162148348354
30,-5.359362933851378,-5.329362933851378,-5.299362933851378
31,-6.238404819578237,-6.208404819578237,-6.178404819578237
32,-7.184824950441551,-7.154824950441551,-7.124824950441551
33,-8.195288623291965,-8.165288623291966,-8.135288623291967
34,-9.26564764189139,-9.23564764189139,-9.20564764189139
35,-10.391017982784783,-10.361017982784784,-10.331017982784784
36,-11.565873462821708,-11.535873462821709,-11.50587346282171
37,-12.784147506987836,-12.754147506987836,-12.724147506987837
38,-14.039326774671453,-14.009326774671454,-13.979326774671454
39,-15.324508590513219,-15.29450859051322,-15.26450859051322
40,-16.63238470564347,-16.60238470564347,-16.57238470564347
41,-17.955123362181862,-17.92512336218186,-17.89512336218186
42,-19.284176611364302,-19.2541766113643,-19.2241766113643
43,-20.610158769321018,-20.580158769321017,-20.550158769321015
44,-21.923092049428423,-21.89309204942842,-21.86309204942842
45,-23.213374207994683,-23.18337420799468,-23.15337420799468
46,-24.473618163267098,-24.443618163267097,-24.413618163267095
47,-25.700983560687185,-25.670983560687183,-25.640983560687182
48,-26.898980959004657,-26.868980959004656,-26.838980959004655
49,-28.07743777260655,-28.04743777260655,-28.01743777260655
50,-29.719790089367564,-29.219790089367564,-28.719790089367564
51,-30.898136619162322,-30.398136619162322,-29.898136619162322
52,-32.087983876190705,-31.587983876190705,-31.087983876190705
53,-33.28528963420545,-32.78528963420545,-32.28528963420545
54,-34.47748846236898,-33.97748846236898,-33.47748846236898
55,-35.647995903631504,-35.147995903631504,-34.647995903631504
56,-36.78171906074344,-36.28171906074344,-35.78171906074344
57,-37.868778347539184,-37.368778347539184,-36.868778347539184
58,-38.905070324819775,-38.405070324819775,-37.905070324819775
59,-39.8902758918776,-39.3902758918776,-38.8902758918776
60,-40.825085989941385,-40.325085989941385,-39.825085989941385
61,-41.70926762186676,-41.20926762186676,-40.70926762186676
62,-42.54118299292952,-42.04118299292952,-41.54118299292952
63,-43.31837499989504,-42.81837499989504,-42.31837499989504
64,-44.03844116667798,-43.53844116667798,-43.03844116667798
65,-44.699629742926746,-44.199629742926746,-43.699629742926746
66,-45.30101012447287,-44.80101012447287,-44.30101012447287
67,-45.84234951006952,-45.34234951006952,-44.84234951006952
68,-46.32388728157558,-45.82388728157558,-45.32388728157558
69,-46.746132696511424,-46.246132696511424,-45.746132696511424
70,-47.10972909234407,-46.60972909234407,-46.10972909234407
71,-47.41537866673724,-46.91537866673724,-46.41537866673724
72,-47.6638066841792,-47.1638066841792,-46.6638066841792
73,-47.85574653428382,-47.35574653428382,-46.85574653428382
74,-47.99193419145582,-47.49193419145582,-46.99193419145582
75,-48.073106375320755,-47.573106375320755,-47.073106375320755
76,-48.10000000073308,-47.60000000073308,-47.10000000073308
77,-48.07335202911456,-47.57335202911456,-47.07335202911456
78,-47.9938994320165,-47.4938994320165,-46.9938994320165
79,-47.86237918300216,-47.36237918300216,-46.86237918300216
80,-47.67952825599985,-47.17952825599985,-46.67952825599985
81,-47.44608362499687,-46.94608362499687,-46.44608362499687
82,-47.16278226398362,-46.66278226398362,-46.16278226398362
83,-46.83036114693441,-46.33036114693441,-45.83036114693441
84,-46.44955724778184,-45.94955724778184,-45.44955724778184
85,-46.021107540370274,-45.521107540370274,-45.021107540370274
86,-45.54574899837457,-45.04574899837457,-44.54574899837457
87,-45.0242185951673,-44.5242185951673,-44.0242185951673
88,-44.45725330361309,-43.95725330361309,-43.45725330361309
89,-43.84559009576302,-43.34559009576302,-42.84559009576302
90,-43.189965942416706,-42.689965942416706,-42.189965942416706
91,-42.49111781251263,-41.99111781251263,-41.49111781251263
92,-41.74978267230061,-41.24978267230061,-40.74978267230061
93,-40.96669748424253,-40.46669748424253,-39.96669748424253
94,-40.14259920557888,-39.64259920557888,-39.14259920557888
95,-39.27822478649051,-38.77822478649051,-38.27822478649051
96,-38.37431116777472,-37.87431116777472,-37.37431116777472
97,-37.43159527794545,-36.93159527794545,-36.43159527794545
98,-36.45081402965632,-35.95081402965632,-35.45081402965632
99,-35.43270431533442,-34.93270431533442,-34.43270431533442
100,-34.37800300190036,-33.87800300190036,-33.37800300190036
101,-33.28744692443848,-32.78744692443848,-32.28744692443848
102,-32.161772878667534,-31.661772878667538,-31.161772878667538
103,-31.001717612048825,-30.501717612048825,-30.001717612048825
104,-29.808017813354557,-29.308017813354557,-28.808017813354557
